product_id,product_name,product_brand,pro_price,pro_quantity,pro_color,pro_size,pro_fabric
1001,Shorts,Adidas,3135,75,Purple,M,Denim
1002,Sweater,Nike,1126,151,Yellow,38,Cotton
1003,T-Shirt,Puma,9649,168,Purple,XXL,Silk
1004,Jacket,H&M,774,193,Green,36,Wool
1005,Blazer,H&M,8878,45,Black,XXL,Viscose
1006,Dress,Reebok,9920,13,Purple,36,Viscose
1007,Hoodie,Zara,5923,152,Green,M,Denim
1008,Sneakers,Levi's,6394,166,Black,XXL,Nylon
1009,Jacket,H&M,6063,171,White,38,Leather
1010,T-Shirt,Puma,3561,23,Grey,40,Mesh
1011,Hoodie,Reebok,1470,195,Black,L,Nylon
1012,Sneakers,Reebok,1572,134,White,40,Cotton
1013,Skirt,Zara,9976,199,Purple,S,Denim
1014,Sweater,H&M,3005,86,Blue,XXL,Wool
1015,Jeans,Levi's,4932,165,Purple,L,Silk
1016,Skirt,Armani,8316,79,Pink,L,Polyester
1017,Sneakers,H&M,9959,29,Green,38,Silk
1018,T-Shirt,Zara,6639,50,Green,L,Wool
1019,Shorts,H&M,4462,90,Green,XXL,Denim
1020,T-Shirt,Gucci,5283,114,Orange,42,Wool
1021,Sneakers,Gucci,5396,66,Grey,L,Polyester
1022,Dress,Adidas,9666,54,Orange,S,Wool
1023,Jacket,Levi's,5739,129,Purple,44,Mesh
1024,Dress,Armani,3104,14,Purple,40,Mesh
1025,Jeans,H&M,7537,11,Yellow,XXL,Nylon
1026,T-Shirt,Armani,2147,163,Pink,M,Nylon
1027,Sweater,Armani,9139,162,Red,L,Cotton
1028,Skirt,Gucci,9283,171,Red,XL,Wool
1029,Shorts,Reebok,9827,133,Purple,42,Linen
1030,Hoodie,Levi's,1668,107,Pink,42,Leather
1031,T-Shirt,Reebok,9344,189,Green,36,Linen
1032,Skirt,Puma,5061,149,White,38,Silk
1033,Jeans,H&M,6626,117,Black,L,Denim
1034,Sneakers,Puma,4089,184,Blue,XL,Wool
1035,T-Shirt,Zara,2580,169,Black,XXL,Mesh
1036,Skirt,H&M,4541,35,Green,M,Wool
1037,Blazer,Adidas,8612,20,White,XL,Polyester
1038,Hoodie,Gucci,6457,195,Grey,38,Denim
1039,Skirt,Nike,1797,11,White,XXL,Cotton
1040,Sneakers,Puma,5460,109,Green,36,Cotton
1041,T-Shirt,H&M,7202,97,Blue,XXL,Mesh
1042,Sweater,Reebok,2741,194,Red,38,Cotton
1043,Jeans,Zara,1446,188,Red,36,Viscose
1044,Dress,Gucci,4757,188,Orange,36,Polyester
1045,Skirt,Zara,2259,144,Orange,38,Wool
1046,T-Shirt,H&M,1227,30,Yellow,42,Polyester
1047,Dress,H&M,9209,181,Purple,XXL,Polyester
1048,Blazer,Levi's,4615,66,Red,44,Leather
1049,Sneakers,Gucci,8919,38,Black,S,Cotton
1050,Skirt,Tommy Hilfiger,4010,181,Purple,L,Polyester
1051,Jeans,Armani,9244,124,Green,36,Linen
1052,Dress,Adidas,1328,80,Black,42,Wool
1053,Hoodie,H&M,3211,17,Black,M,Silk
1054,Dress,Tommy Hilfiger,966,58,Grey,42,Leather
1055,Sweater,Puma,5250,113,Green,M,Wool
